id,YES,condname,education
328,7,TOSA warning - NO click required,HS_or_less
329,3,TOSA warning - NO click required,HS_or_less
330,14,TOSA warning - NO click required,Bachelors
331,20,TOSA warning - NO click required,HS_or_less
332,11,TOSA warning - NO click required,HS_or_less
333,5,TOSA warning - NO click required,Graduate
334,6,TOSA warning - NO click required,Associate
335,8,TOSA warning - NO click required,Associate
336,2,TOSA warning - NO click required,Bachelors
337,9,TOSA warning - NO click required,HS_or_less
338,7,TOSA warning - NO click required,HS_or_less
339,15,TOSA warning - NO click required,Bachelors
340,11,TOSA warning - NO click required,Associate
341,11,TOSA warning - NO click required,Associate
342,12,TOSA warning - NO click required,Associate
343,8,TOSA warning - NO click required,Associate
344,15,TOSA warning - NO click required,Bachelors
345,13,TOSA warning - NO click required,HS_or_less
346,13,TOSA warning - NO click required,HS_or_less
347,15,TOSA warning - NO click required,Associate
348,6,TOSA warning - NO click required,Bachelors
349,20,TOSA warning - NO click required,Bachelors
350,13,TOSA warning - NO click required,Associate
351,9,TOSA warning - NO click required,Bachelors
352,9,TOSA warning - NO click required,HS_or_less
353,16,TOSA warning - NO click required,Associate
354,12,TOSA warning - NO click required,Bachelors
355,16,TOSA warning - NO click required,HS_or_less
356,13,TOSA warning - NO click required,HS_or_less
357,13,TOSA warning - NO click required,Associate
358,12,TOSA warning - NO click required,HS_or_less
359,4,TOSA warning - NO click required,HS_or_less
360,7,TOSA warning - NO click required,HS_or_less
361,13,TOSA warning - NO click required,Graduate
362,1,TOSA warning - NO click required,Bachelors
363,1,TOSA warning - NO click required,Bachelors
364,5,TOSA warning - NO click required,Bachelors
365,9,TOSA warning - NO click required,Graduate
366,0,TOSA warning - NO click required,Bachelors
367,10,TOSA warning - NO click required,HS_or_less
368,5,TOSA warning - NO click required,HS_or_less
369,17,TOSA warning - NO click required,HS_or_less
370,3,TOSA warning - NO click required,Associate
371,13,TOSA warning - NO click required,HS_or_less
372,11,TOSA warning - NO click required,Associate
373,18,TOSA warning - NO click required,Graduate
374,7,TOSA warning - NO click required,Graduate
375,0,TOSA warning - NO click required,Associate
376,6,TOSA warning - NO click required,Bachelors
377,13,TOSA warning - NO click required,Bachelors
378,19,TOSA warning - NO click required,HS_or_less
