Year,State,county_name,Rent,Pop,RentInc,PopInc,Class,Class2,,
2014,Montana,Valley County,882,"7,369",0.017301038,0.017241379,Rural,Rural,,
2014,Montana,Wheatland County,895,"2,168",0.018202503,0.018145161,Rural,Rural,,
2014,Montana,Wibaux County,895,"1,017",0.018202503,0.018145161,Rural,Rural,,
2014,Montana,Yellowstone County,967,"147,972",-0.03493014,-0.035785288,Urban,Urban,,
2015,Montana,Beaverhead County,948,"9,246",0.028199566,0.027217742,Rural,Rural,,
2015,Montana,Big Horn County,912,"12,865",0.027027027,0.026936027,Rural,Urban,,
2015,Montana,Blaine County,909,"6,491",0.165384615,0.166069295,Rural,Rural,,
2015,Montana,Broadwater County,998,"5,612",0.182464455,0.181395349,Rural,Rural,,
2015,Montana,Carbon County,1007,"10,078",0.00499002,0.003976143,Rural,Rural,,
2015,Montana,Carter County,903,"1,160",0.027303754,0.027217742,Rural,Rural,,
2015,Montana,Cascade County,937,"81,327",-0.022940563,-0.022517912,Urban,Urban,,
2015,Montana,Chouteau County,948,"5,813",0.028199566,0.027807487,Rural,Rural,,
2015,Montana,Custer County,937,"11,699",0.026286966,0.027292576,Rural,Rural,,
2015,Montana,Daniels County,878,"1,751",0.026900585,0.027217742,Rural,Rural,,
2015,Montana,Dawson County,923,"8,966",0.026696329,0.027051398,Rural,Rural,,
2015,Montana,Deer Lodge County,948,"9,298",0.028199566,0.026976744,Rural,Rural,,
2015,Montana,Fallon County,948,"2,890",0.028199566,0.027217742,Rural,Rural,,
2015,Montana,Fergus County,902,"11,586",0.102689487,0.101893598,Rural,Rural,,
2015,Montana,Flathead County,1219,"90,928",0.107175295,0.107331822,Tourist,Tourist,,
2015,Montana,Gallatin County,1136,"89,513",0.034608379,0.035633055,Tourist,Tourist,,
2015,Montana,Garfield County,903,"1,206",0.027303754,0.027217742,Rural,Rural,,
2015,Montana,Glacier County,948,"13,399",0.028199566,0.027135678,Tourist,Tourist,,
2015,Montana,Golden Valley County,801,884,-0.025547445,-0.02581262,Rural,Rural,,
2015,Montana,Granite County,929,"3,079",0.191025641,0.192540323,Rural,Rural,,
2015,Montana,Hill County,948,"16,096",0.028199566,0.02699784,Rural,Urban,,
2015,Montana,Jefferson County,1020,"11,406",0.307692308,0.308243728,Rural,Rural,,
2015,Montana,Judith Basin County,917,"2,072",0.0268757,0.027217742,Rural,Rural,,
2015,Montana,Lake County,870,"28,746",0.018735363,0.018018018,Rural,Urban,,
2015,Montana,Lewis and Clark County,1060,"63,395",0.086065574,0.085418464,Urban,Urban,,
2015,Montana,Liberty County,903,"2,339",0.027303754,0.027217742,Rural,Rural,,
2015,Montana,Lincoln County,905,"19,687",0.027241771,0.027051398,Rural,Urban,,
2015,Montana,McCone County,948,"1,734",0.028199566,0.027051398,Rural,Rural,,
2015,Montana,Madison County,971,"7,691",0.09841629,0.097997893,Rural,Rural,,
2015,Montana,Meagher County,801,"1,891",0.026923077,0.027217742,Rural,Rural,,
2015,Montana,Mineral County,889,"4,223",0.027745665,0.026467204,Rural,Rural,,
2015,Montana,Missoula County,1083,"109,299",0.02362949,0.022953328,Tourist,Tourist,,
2015,Montana,Musselshell County,893,"4,538",0.026436782,0.027217742,Rural,Rural,,
2015,Montana,Park County,981,"15,636",0.033719705,0.034099333,Rural,Urban,,
2015,Montana,Petroleum County,1014,494,0.093851133,0.093690249,Rural,Rural,,
2015,Montana,Phillips County,903,"4,253",0.027303754,0.027217742,Rural,Rural,,
2015,Montana,Pondera County,948,"6,153",0.028199566,0.027051398,Rural,Rural,,
2015,Montana,Powder River County,1304,"1,743",0.414316703,0.414314516,Rural,Rural,,
2015,Montana,Powell County,801,"7,027",0.026923077,0.027472527,Rural,Rural,,
2015,Montana,Prairie County,903,"1,179",0.027303754,0.027217742,Rural,Rural,,
2015,Montana,Ravalli County,1117,"40,212",0.061787072,0.06155303,Rural,Urban,,
2015,Montana,Richland County,824,"9,746",0.027431421,0.027051398,Rural,Rural,,
2015,Montana,Roosevelt County,801,"10,425",0.026923077,0.026284349,Rural,Rural,,
2015,Montana,Rosebud County,801,"9,233",0.026923077,0.026284349,Rural,Rural,,
2015,Montana,Sanders County,818,"11,413",0.027638191,0.027901786,Rural,Rural,,
2015,Montana,Sheridan County,948,"3,384",0.028199566,0.027051398,Rural,Rural,,
2015,Montana,Silver Bow County,867,"34,200",0.08782936,0.08751334,Urban,Urban,,
2015,Montana,Stillwater County,907,"9,117",0.027180068,0.027051398,Rural,Rural,,
2015,Montana,Sweet Grass County,1040,"3,651",0.127982646,0.127141569,Rural,Rural,,
2015,Montana,Teton County,904,"6,073",0.041474654,0.04233871,Rural,Rural,,
2015,Montana,Toole County,948,"5,324",0.028199566,0.027051398,Rural,Rural,,
2015,Montana,Treasure County,1027,718,0.177752294,0.177419355,Rural,Rural,,
2015,Montana,Valley County,890,"7,369",0.026528258,0.027586207,Rural,Rural,,
2015,Montana,Wheatland County,1035,"2,168",0.177474403,0.177419355,Rural,Rural,,
2015,Montana,Wibaux County,903,"1,017",0.027303754,0.027217742,Rural,Rural,,
2015,Montana,Yellowstone County,1007,"147,972",0.00499002,0.003976143,Urban,Urban,,
2016,Montana,Beaverhead County,885,"9,246",-0.040130152,0.158266129,Rural,Rural,,
2016,Montana,Big Horn County,861,"12,865",-0.030405405,0.224466891,Rural,Urban,,
2016,Montana,Blaine County,817,"6,491",0.047435897,0.077658303,Rural,Rural,,
2016,Montana,Broadwater County,990,"5,612",0.172985782,0.230697674,Rural,Rural,,
2016,Montana,Carbon County,1080,"10,078",0.077844311,0.185884692,Rural,Rural,,
2016,Montana,Carter County,931,"1,160",0.059158134,0.099798387,Rural,Rural,,
2016,Montana,Cascade County,1028,"81,327",0.071949948,0.268167861,Urban,Urban,,
2016,Montana,Chouteau County,846,"5,813",-0.082429501,0.031016043,Rural,Rural,,
2016,Montana,Custer County,959,"11,699",0.050383352,0.173580786,Rural,Rural,,
2016,Montana,Daniels County,931,"1,751",0.088888889,0.099798387,Rural,Rural,,
2016,Montana,Dawson County,855,"8,966",-0.04894327,0.00541028,Rural,Rural,,
2016,Montana,Deer Lodge County,909,"9,298",-0.014099783,0.068837209,Rural,Rural,,
2016,Montana,Fallon County,852,"2,890",-0.075921909,0.099798387,Rural,Rural,,
2016,Montana,Fergus County,824,"11,586",0.007334963,-0.186654644,Rural,Rural,,
2016,Montana,Flathead County,1100,"90,928",-0.000908265,-0.053665911,Tourist,Tourist,,
2016,Montana,Gallatin County,1148,"89,513",0.045537341,0.043214556,Tourist,Tourist,,
2016,Montana,Garfield County,959,"1,206",0.091012514,0.099798387,Rural,Rural,,
2016,Montana,Glacier County,817,"13,399",-0.113882863,0.096482412,Tourist,Tourist,,
2016,Montana,Golden Valley County,926,884,0.126520681,0.021988528,Rural,Rural,,
2016,Montana,Granite County,912,"3,079",0.169230769,0.228830645,Rural,Rural,,
2016,Montana,Hill County,861,"16,096",-0.066160521,0.032397408,Rural,Urban,,
2016,Montana,Jefferson County,1024,"11,406",0.312820513,0.634408602,Rural,Rural,,
2016,Montana,Judith Basin County,817,"2,072",-0.085106383,0.099798387,Rural,Rural,,
2016,Montana,Lake County,880,"28,746",0.030444965,0.001801802,Rural,Urban,,
2016,Montana,Lewis and Clark County,1253,"63,395",0.283811475,0.295081967,Urban,Urban,,
2016,Montana,Liberty County,817,"2,339",-0.070534699,0.099798387,Rural,Rural,,
2016,Montana,Lincoln County,817,"19,687",-0.072644722,0.03606853,Rural,Urban,,
2016,Montana,McCone County,890,"1,734",-0.034707158,-0.016230839,Rural,Rural,,
2016,Montana,Madison County,913,"7,691",0.03280543,0.063224447,Rural,Rural,,
2016,Montana,Meagher County,879,"1,891",0.126923077,0.099798387,Rural,Rural,,
2016,Montana,Mineral County,899,"4,223",0.039306358,0.037974684,Rural,Rural,,
2016,Montana,Missoula County,1274,"109,299",0.20415879,0.182096404,Tourist,Tourist,,
2016,Montana,Musselshell County,959,"4,538",0.102298851,0.133064516,Rural,Rural,,
2016,Montana,Park County,1009,"15,636",0.063224447,0.04818384,Rural,Urban,,
2016,Montana,Petroleum County,1017,494,0.097087379,0.13957935,Rural,Rural,,
2016,Montana,Phillips County,817,"4,253",-0.070534699,0.106854839,Rural,Rural,,
2016,Montana,Pondera County,959,"6,153",0.040130152,0.03606853,Rural,Rural,,
2016,Montana,Powder River County,834,"1,743",-0.095444685,0.122983871,Rural,Rural,,
2016,Montana,Powell County,959,"7,027",0.229487179,-0.000915751,Rural,Rural,,
2016,Montana,Prairie County,931,"1,179",0.059158134,0.099798387,Rural,Rural,,
2016,Montana,Ravalli County,972,"40,212",-0.076045627,-0.027462121,Rural,Urban,,
2016,Montana,Richland County,877,"9,746",0.093516209,-0.016230839,Rural,Rural,,
